"id","NomDeLieu","Coordonnees","ImageLink","Image.filename_download","Image.id"
20,"Porte de la Craffe","48.69886592647276, 6.177797656113235","https://i.pinimg.com/originals/ca/dd/5a/cadd5a34c4f64319dbb15b576d1e7369.jpg","20.jpg","8707d5fc-a326-4f95-834d-33360abf745f"
21,"Tour de la Commanderie Nazet-Moutaux","48.68656598542592, 6.167354816776893","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/1c/a5/8f/up-some-steps.jpg?w=1200&h=-1&s=1","21.jpg","2227dad0-ac3e-4895-85c1-a4ce18c5e217"
22,"Campus Lettres et Sciences Humaines de Nancy - Université de Lorraine","48.69558101980567, 6.1659993577656484","https://cdn-s-www.estrepublicain.fr/images/5ED2BEB3-6BEB-4C0B-8797-28AF345C4C4B/NW_raw/title-1607632070.jpg","22.jpg","96aff223-0f6f-4e22-bccd-e0429932a82b"
23,"Faculté de Droit, Sciences Économiques et Gestion","48.69312298902564, 6.176641345874096","https://live.staticflickr.com/65535/48864028882_580f6e3ff6_b.jpg","23.jpg","ec2f3cab-126a-4f78-9d5c-b5e259032058"
24,"Stade Marcel Picot","48.69542492463427, 6.210536520303652","https://th.bing.com/th/id/R.5228ad9f481c3985cc289b82e7ee9669?rik=AGJxuyX3ya272A&riu=http%3a%2f%2fwww.ostadium.com%2fgalleries%2fstade-marcel-picot-vue-aerienne-illus.jpg&ehk=s5JHg2RJq625D3pzyEzQoJquUrRUZ4HKasOuMOXKW%2f0%3d&risl=&pid=ImgRaw&r=0&sres=1&sres","24.jpg","2f082be7-387d-4a7d-961c-3e2b813fdffb"
25,"Château de Montaigu","48.663382233080426, 6.2158060491444","https://static.wixstatic.com/media/4d8fa8_49bbe10b1b374654a9304828fa4b9e21~mv2.jpg/v1/fill/w_2500,h_1830,al_c/4d8fa8_49bbe10b1b374654a9304828fa4b9e21~mv2.jpg","25.jpg","09de0adf-004b-4a13-a162-d0ee21e6f456"
26,"IUT Nancy-Brabois","48.65887054230006, 6.151402987604767","https://iut-nancy-brabois.univ-lorraine.fr/files/2023/09/iutnb-campus-luneville-1536x1024.jpg","26.jpg","865d42bc-9123-4a55-8f09-ca97e81f27a1"
27,"Musée de l'École de Nancy","48.68052365752653, 6.166174186685939","https://farm9.staticflickr.com/8895/18257400028_37fc387e89_o_d.jpg","27.jpg","4b7871c1-8ba9-4d6d-99fe-dd8812a4ac90"
28,"Crous Resto U' Cours Léopold","48.69511748886811, 6.177192553212553","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/01/bb/3f/voici-la-facade-du-crous.jpg?w=1200&h=-1&s=1","28.jpg","65bdff69-10a5-4ff4-a7cf-e7ca07e0194f"
29,"Statue équestre de Jeanne d'Arc","48.69414033913675, 6.180307837445197","https://th.bing.com/th/id/OIP.EIh8ndJen8yux0fiwlJybwHaLH?w=1200&h=1800&rs=1&pid=ImgDetMain","29.jpg","42777402-837c-480b-8f01-6db3d7997134"
30,"ARTEM","48.67286634844456, 6.171657520162884","https://live.staticflickr.com/65535/51217348797_7c1eb78d1b_b.jpg","30.jpg","2d5ecb56-7b96-4679-9eb8-a1daf4950abc"
31,"Ensic","48.69960359511604, 6.179908893331664","https://th.bing.com/th/id/R.084fa9f085165b0d47e0e309c358d4cc?rik=zgQMf1MoZM4%2bqg&pid=ImgRaw&r=0","31.jpg","9c1d3360-2625-4310-bce1-2293e472449c"
32,"Faculté des Sciences et Technologies","48.66509520838335, 6.160530317593506","https://www.pagesjaunes.fr/media/ugc/faculte_des_sciences_et_technologies_05454700_094219295","32.jpg","d5df653d-5bbf-47de-985e-c64f44766c00"
