"id","NomDeLieu","Coordonnees","ImageLink","Image"
21,"Tour de la Commanderie Nazet-Moutaux","48.68656598542592, 6.167354816776893","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/1c/a5/8f/up-some-steps.jpg?w=1200&h=-1&s=1","cd428eae-47ea-4269-b9a9-7205f40e77ad"
22,"Campus Lettres et Sciences Humaines de Nancy - Université de Lorraine","48.69558101980567, 6.1659993577656484","https://cdn-s-www.estrepublicain.fr/images/5ED2BEB3-6BEB-4C0B-8797-28AF345C4C4B/NW_raw/title-1607632070.jpg","a3a1a109-a179-4d60-8fc2-0edcce966e08"
23,"Faculté de Droit, Sciences Économiques et Gestion","48.69312298902564, 6.176641345874096","https://live.staticflickr.com/65535/48864028882_580f6e3ff6_b.jpg","982376d9-7855-4b62-9279-3137cc1c167f"
24,"Stade Marcel Picot","48.69542492463427, 6.210536520303652","https://th.bing.com/th/id/R.5228ad9f481c3985cc289b82e7ee9669?rik=AGJxuyX3ya272A&riu=http%3a%2f%2fwww.ostadium.com%2fgalleries%2fstade-marcel-picot-vue-aerienne-illus.jpg&ehk=s5JHg2RJq625D3pzyEzQoJquUrRUZ4HKasOuMOXKW%2f0%3d&risl=&pid=ImgRaw&r=0&sres=1&sres","cae7dd34-76d2-46ac-b9d1-8bab0e681448"
25,"Château de Montaigu","48.663382233080426, 6.2158060491444","https://static.wixstatic.com/media/4d8fa8_49bbe10b1b374654a9304828fa4b9e21~mv2.jpg/v1/fill/w_2500,h_1830,al_c/4d8fa8_49bbe10b1b374654a9304828fa4b9e21~mv2.jpg","d9a8df84-53c7-4e7c-b8e8-099c69605e18"
26,"IUT Nancy-Brabois","48.65887054230006, 6.151402987604767","https://iut-nancy-brabois.univ-lorraine.fr/files/2023/09/iutnb-campus-luneville-1536x1024.jpg","2d5d006e-bd87-4e91-a021-71adf44b7d8e"
27,"Musée de l'École de Nancy","48.68052365752653, 6.166174186685939","https://farm9.staticflickr.com/8895/18257400028_37fc387e89_o_d.jpg","5df5a9cd-ffcc-486b-82ba-9c131c80fb3d"
28,"Crous Resto U' Cours Léopold","48.69511748886811, 6.177192553212553","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/01/bb/3f/voici-la-facade-du-crous.jpg?w=1200&h=-1&s=1","4247fbf1-66b7-4e5c-a89f-6df8f113eb4b"
29,"Statue équestre de Jeanne d'Arc","48.69414033913675, 6.180307837445197","https://th.bing.com/th/id/OIP.EIh8ndJen8yux0fiwlJybwHaLH?w=1200&h=1800&rs=1&pid=ImgDetMain","dd801012-249e-4c4f-b7d6-e3795db1464a"
30,"ARTEM","48.67286634844456, 6.171657520162884","https://live.staticflickr.com/65535/51217348797_7c1eb78d1b_b.jpg","b9fefcae-1ce4-4f99-8faf-486925c1f007"
31,"Ensic","48.69960359511604, 6.179908893331664","https://th.bing.com/th/id/R.084fa9f085165b0d47e0e309c358d4cc?rik=zgQMf1MoZM4%2bqg&pid=ImgRaw&r=0","39391622-1701-4e8a-b46d-6c01a0cbbef2"
32,"Faculté des Sciences et Technologies","48.66509520838335, 6.160530317593506","https://www.pagesjaunes.fr/media/ugc/faculte_des_sciences_et_technologies_05454700_094219295","c4c2557c-f7a5-457c-b794-b524a2e27183"
